path,status,source,destination,bucket,consumed_contract_row,security_review_status,test_evidence,reconciliation_decision,reviewer,adr_reference
.claude/skills/add-codex/REMOVE.md,modified,,,C,,,"plan's own Non-goals section: ""channels/providers sibling-branch drift this produces (Mattermost, Codex/OpenCode contract work)... already-tracked threads (see .github/workflows/ci.yml's sync-sibling-branches-* jobs)""",declined:out-of-scope-tracked-by-sync-sibling-branch-mechanism,,
.claude/skills/add-codex/SKILL.md,modified,,,C,,,"plan's own Non-goals section: ""channels/providers sibling-branch drift this produces (Mattermost, Codex/OpenCode contract work)... already-tracked threads (see .github/workflows/ci.yml's sync-sibling-branches-* jobs)""",declined:out-of-scope-tracked-by-sync-sibling-branch-mechanism,,
.claude/skills/add-codex/payload/setup/providers/codex.test.ts,added,,,C,,,"plan's own Non-goals section: ""channels/providers sibling-branch drift this produces (Mattermost, Codex/OpenCode contract work)... already-tracked threads (see .github/workflows/ci.yml's sync-sibling-branches-* jobs)""",declined:out-of-scope-tracked-by-sync-sibling-branch-mechanism,,
.claude/skills/add-codex/payload/setup/providers/codex.ts,added,,,C,,,"plan's own Non-goals section: ""channels/providers sibling-branch drift this produces (Mattermost, Codex/OpenCode contract work)... already-tracked threads (see .github/workflows/ci.yml's sync-sibling-branches-* jobs)""",declined:out-of-scope-tracked-by-sync-sibling-branch-mechanism,,
.claude/skills/add-codex/payload/src/provider-contracts/codex.ts,added,,,C,,,"plan's own Non-goals section: ""channels/providers sibling-branch drift this produces (Mattermost, Codex/OpenCode contract work)... already-tracked threads (see .github/workflows/ci.yml's sync-sibling-branches-* jobs)""",declined:out-of-scope-tracked-by-sync-sibling-branch-mechanism,,
.claude/skills/add-dial-tool/SKILL.md,modified,,,C,,,"Isthmus-maintained skill file (not on the sync-sibling-branches mirror) with its own diff from upstream's v2.4.0 -- needs line-by-line reconciliation against Isthmus's current version, not a blind overwrite (D3).",needs-manual-reconciliation,,
.claude/skills/add-dial/SKILL.md,modified,,,C,,,"Isthmus-maintained skill file (not on the sync-sibling-branches mirror) with its own diff from upstream's v2.4.0 -- needs line-by-line reconciliation against Isthmus's current version, not a blind overwrite (D3).",needs-manual-reconciliation,,
.claude/skills/add-dial/apply-fixtures.json,modified,,,C,,,"Isthmus-maintained skill file (not on the sync-sibling-branches mirror) with its own diff from upstream's v2.4.0 -- needs line-by-line reconciliation against Isthmus's current version, not a blind overwrite (D3).",needs-manual-reconciliation,,
.claude/skills/add-iron-proxy/REMOVE.md,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/SKILL.md,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/assets/entrypoint.sh,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/assets/managed-proxy.Dockerfile,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/evals/evals.json,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/front-proxy/go.mod,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/front-proxy/go.sum,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/front-proxy/main.go,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/front-proxy/security_test.go,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/gateway.json,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/payload/container/skills/iron-proxy-gateway/SKILL.md,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/payload/container/skills/iron-proxy-gateway/instructions.md,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/payload/src/gateway-providers/iron-proxy-approval.test.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/payload/src/gateway-providers/iron-proxy-approval.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/payload/src/gateway-providers/iron-proxy-transform.proto,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/payload/src/gateway-providers/iron-proxy.test.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/payload/src/gateway-providers/iron-proxy.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/references/control-plane.md,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/auth-resume.test.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/auth.test.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/auth.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/build-managed-proxy.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/capture-claude-token.sh,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/control.test.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/control.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/credential-isolation.test.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/credential-isolation.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/credential-store.test.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/credential-store.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/detect.test.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/detect.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/install-claude.sh,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/install-command.test.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/install-command.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/provider-credentials.test.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/provider-credentials.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/scripts/setup.ts,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-iron-proxy/versions.json,added,,,C,,,"ADR-030: adopted, Workstream C8 (install on par with upstream)",,,ADR-030
.claude/skills/add-mattermost/REMOVE.md,added,,,C,,,"plan's own Non-goals section: ""channels/providers sibling-branch drift this produces (Mattermost, Codex/OpenCode contract work)... already-tracked threads (see .github/workflows/ci.yml's sync-sibling-branches-* jobs)""",declined:out-of-scope-tracked-by-sync-sibling-branch-mechanism,,
.claude/skills/add-mattermost/SERVER_SETUP.md,added,,,C,,,"plan's own Non-goals section: ""channels/providers sibling-branch drift this produces (Mattermost, Codex/OpenCode contract work)... already-tracked threads (see .github/workflows/ci.yml's sync-sibling-branches-* jobs)""",declined:out-of-scope-tracked-by-sync-sibling-branch-mechanism,,
.claude/skills/add-mattermost/SKILL.md,added,,,C,,,"plan's own Non-goals section: ""channels/providers sibling-branch drift this produces (Mattermost, Codex/OpenCode contract work)... already-tracked threads (see .github/workflows/ci.yml's sync-sibling-branches-* jobs)""",declined:out-of-scope-tracked-by-sync-sibling-branch-mechanism,,
.claude/skills/add-mattermost/apply-fixtures.json,added,,,C,,,"plan's own Non-goals section: ""channels/providers sibling-branch drift this produces (Mattermost, Codex/OpenCode contract work)... already-tracked threads (see .github/workflows/ci.yml's sync-sibling-branches-* jobs)""",declined:out-of-scope-tracked-by-sync-sibling-branch-mechanism,,
.claude/skills/add-mattermost/scripts/configure.ts,added,,,C,,,"plan's own Non-goals section: ""channels/providers sibling-branch drift this produces (Mattermost, Codex/OpenCode contract work)... already-tracked threads (see .github/workflows/ci.yml's sync-sibling-branches-* jobs)""",declined:out-of-scope-tracked-by-sync-sibling-branch-mechanism,,
.claude/skills/add-mattermost/scripts/discover-server.mjs,added,,,C,,,"plan's own Non-goals section: ""channels/providers sibling-branch drift this produces (Mattermost, Codex/OpenCode contract work)... already-tracked threads (see .github/workflows/ci.yml's sync-sibling-branches-* jobs)""",declined:out-of-scope-tracked-by-sync-sibling-branch-mechanism,,
.claude/skills/add-mattermost/scripts/read-response.mjs,added,,,C,,,"plan's own Non-goals section: ""channels/providers sibling-branch drift this produces (Mattermost, Codex/OpenCode contract work)... already-tracked threads (see .github/workflows/ci.yml's sync-sibling-branches-* jobs)""",declined:out-of-scope-tracked-by-sync-sibling-branch-mechanism,,
.claude/skills/add-mattermost/scripts/remove-base-url.mjs,added,,,C,,,"plan's own Non-goals section: ""channels/providers sibling-branch drift this produces (Mattermost, Codex/OpenCode contract work)... already-tracked threads (see .github/workflows/ci.yml's sync-sibling-branches-* jobs)""",declined:out-of-scope-tracked-by-sync-sibling-branch-mechanism,,
.claude/skills/add-mattermost/scripts/remove-config.mjs,added,,,C,,,"plan's own Non-goals section: ""channels/providers sibling-branch drift this produces (Mattermost, Codex/OpenCode contract work)... already-tracked threads (see .github/workflows/ci.yml's sync-sibling-branches-* jobs)""",declined:out-of-scope-tracked-by-sync-sibling-branch-mechanism,,
.claude/skills/add-mattermost/scripts/select-server.mjs,added,,,C,,,"plan's own Non-goals section: ""channels/providers sibling-branch drift this produces (Mattermost, Codex/OpenCode contract work)... already-tracked threads (see .github/workflows/ci.yml's sync-sibling-branches-* jobs)""",declined:out-of-scope-tracked-by-sync-sibling-branch-mechanism,,
.claude/skills/add-mattermost/scripts/verify-runtime.ts,added,,,C,,,"plan's own Non-goals section: ""channels/providers sibling-branch drift this produces (Mattermost, Codex/OpenCode contract work)... already-tracked threads (see .github/workflows/ci.yml's sync-sibling-branches-* jobs)""",declined:out-of-scope-tracked-by-sync-sibling-branch-mechanism,,
.claude/skills/add-onecli/REMOVE.md,added,,,A,,,"Upstream moved OneCLI out of trunk into this skill payload; Isthmus's C7 (commit 0bb51506) kept OneCLI core-baked instead, matching upstream's own default-gateway shape without the skill indirection -- this payload was not adopted, by design, not by omission.",declined:architecture-onecli-stays-core,,
.claude/skills/add-onecli/SKILL.md,added,,,A,,,"Upstream moved OneCLI out of trunk into this skill payload; Isthmus's C7 (commit 0bb51506) kept OneCLI core-baked instead, matching upstream's own default-gateway shape without the skill indirection -- this payload was not adopted, by design, not by omission.",declined:architecture-onecli-stays-core,,
.claude/skills/add-onecli/gateway.json,added,,,A,,,"Upstream moved OneCLI out of trunk into this skill payload; Isthmus's C7 (commit 0bb51506) kept OneCLI core-baked instead, matching upstream's own default-gateway shape without the skill indirection -- this payload was not adopted, by design, not by omission.",declined:architecture-onecli-stays-core,,
.claude/skills/add-onecli/payload/container/skills/onecli-gateway/SKILL.md,added,,,A,,,"Upstream moved OneCLI out of trunk into this skill payload; Isthmus's C7 (commit 0bb51506) kept OneCLI core-baked instead, matching upstream's own default-gateway shape without the skill indirection -- this payload was not adopted, by design, not by omission.",declined:architecture-onecli-stays-core,,
.claude/skills/add-onecli/payload/container/skills/onecli-gateway/instructions.md,added,,,A,,,"Upstream moved OneCLI out of trunk into this skill payload; Isthmus's C7 (commit 0bb51506) kept OneCLI core-baked instead, matching upstream's own default-gateway shape without the skill indirection -- this payload was not adopted, by design, not by omission.",declined:architecture-onecli-stays-core,,
.claude/skills/add-onecli/payload/docs/onecli-upgrades.md,added,,,A,,,"Upstream moved OneCLI out of trunk into this skill payload; Isthmus's C7 (commit 0bb51506) kept OneCLI core-baked instead, matching upstream's own default-gateway shape without the skill indirection -- this payload was not adopted, by design, not by omission.",declined:architecture-onecli-stays-core,,
.claude/skills/add-onecli/payload/src/gateway-providers/onecli-files.test.ts,added,,,A,,,"Upstream moved OneCLI out of trunk into this skill payload; Isthmus's C7 (commit 0bb51506) kept OneCLI core-baked instead, matching upstream's own default-gateway shape without the skill indirection -- this payload was not adopted, by design, not by omission.",declined:architecture-onecli-stays-core,,
.claude/skills/add-onecli/payload/src/gateway-providers/onecli-files.ts,added,,,A,,,"Upstream moved OneCLI out of trunk into this skill payload; Isthmus's C7 (commit 0bb51506) kept OneCLI core-baked instead, matching upstream's own default-gateway shape without the skill indirection -- this payload was not adopted, by design, not by omission.",declined:architecture-onecli-stays-core,,
.claude/skills/add-onecli/payload/src/gateway-providers/onecli-install.test.ts,added,,,A,,,"Upstream moved OneCLI out of trunk into this skill payload; Isthmus's C7 (commit 0bb51506) kept OneCLI core-baked instead, matching upstream's own default-gateway shape without the skill indirection -- this payload was not adopted, by design, not by omission.",declined:architecture-onecli-stays-core,,
.claude/skills/add-onecli/payload/src/gateway-providers/onecli.test.ts,added,,,A,,,"Upstream moved OneCLI out of trunk into this skill payload; Isthmus's C7 (commit 0bb51506) kept OneCLI core-baked instead, matching upstream's own default-gateway shape without the skill indirection -- this payload was not adopted, by design, not by omission.",declined:architecture-onecli-stays-core,,
